2017-04-13 08:43:59.289 [main] INFO  com.gd.MaApplication - Starting MaApplication on YH-20160825WIPY with PID 3400 (E:\ideaProject\command\target\classes started by Administrator in E:\ideaProject\command)
2017-04-13 08:43:59.320 [main] INFO  com.gd.MaApplication - No active profile set, falling back to default profiles: default
2017-04-13 08:44:01.208 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2017-04-13 08:44:08.197 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6c284af: startup date [Thu Apr 13 08:44:08 CST 2017]; root of context hierarchy
2017-04-13 08:44:33.562 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$899a63c2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-04-13 08:44:34.810 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$d2ac99e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-04-13 08:44:38.710 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @87755ms
2017-04-13 08:44:40.941 [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 9090
2017-04-13 08:44:41.019 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.3.14.v20161028
2017-04-13 08:44:43.343 [main] INFO  application - Initializing Spring embedded WebApplicationContext
2017-04-13 08:44:43.343 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 35146 ms
2017-04-13 08:44:55.480 [main] INFO  o.s.cache.ehcache.EhCacheManagerFactoryBean - Initializing EhCache CacheManager
2017-04-13 08:44:56.806 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2017-04-13 08:44:56.806 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-04-13 08:44:56.806 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-04-13 08:44:56.806 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2017-04-13 08:44:56.806 [main] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
2017-04-13 08:44:56.806 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'getMyExceptionTranslationFilter' to: [/*]
2017-04-13 08:44:56.806 [main] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2017-04-13 08:44:57.274 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.s.b.c.e.j.JettyEmbeddedWebAppContext@7ec5aad{/v1.0/ma,file:///C:/Users/Administrator/AppData/Local/Temp/jetty-docbase.9027559355626265874.9090/,AVAILABLE}
2017-04-13 08:44:57.274 [main] INFO  org.eclipse.jetty.server.Server - Started @106327ms
2017-04-13 08:44:58.507 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/hello/hello]}" onto public java.lang.String com.gd.api.HelloController.hello()
2017-04-13 08:44:58.507 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/account/add],methods=[POST]}" onto public java.lang.String com.gd.controller.account.AccountController.add(java.security.Principal,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gd.domain.account.Account)
2017-04-13 08:44:58.507 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/account/{id}/update],methods=[POST]}" onto public java.lang.String com.gd.controller.account.AccountController.update(java.security.Principal,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gd.domain.account.Account)
2017-04-13 08:44:58.507 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/account/{id}/delete],methods=[GET]}" onto public java.lang.String com.gd.controller.account.AccountController.delete(java.security.Principal,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
