2017-03-29 08:19:44.920 [main] INFO  com.gd.MaApplication - Starting MaApplication on YH-20160825WIPY with PID 3524 (E:\ideaProject\command\target\classes started by Administrator in E:\ideaProject\command)
2017-03-29 08:19:44.923 [main] INFO  com.gd.MaApplication - No active profile set, falling back to default profiles: default
2017-03-29 08:19:45.100 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2017-03-29 08:19:45.238 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6c284af: startup date [Wed Mar 29 08:19:45 CST 2017]; root of context hierarchy
2017-03-29 08:19:46.770 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f3a137f5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-29 08:19:46.975 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$3cb36e13] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-29 08:19:47.528 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @4782ms
2017-03-29 08:19:47.736 [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 9090
2017-03-29 08:19:47.737 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.3.14.v20161028
2017-03-29 08:19:47.851 [main] INFO  application - Initializing Spring embedded WebApplicationContext
2017-03-29 08:19:47.852 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2614 ms
2017-03-29 08:19:48.198 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2017-03-29 08:19:48.198 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-03-29 08:19:48.198 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-03-29 08:19:48.198 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2017-03-29 08:19:48.199 [main] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
2017-03-29 08:19:48.200 [main] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2017-03-29 08:19:48.500 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.s.b.c.e.j.JettyEmbeddedWebAppContext@1fb2eec{/v1.0/ma,file:///C:/Users/Administrator/AppData/Local/Temp/jetty-docbase.730921010465304681.9090/,AVAILABLE}
2017-03-29 08:19:48.501 [main] INFO  org.eclipse.jetty.server.Server - Started @5755ms
2017-03-29 08:19:48.541 [main] INFO  o.s.cache.ehcache.EhCacheManagerFactoryBean - Initializing EhCache CacheManager
2017-03-29 08:19:51.364 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/hello/hello]}" onto public java.lang.String com.gd.api.HelloController.hello()
